C,H,O,N,S,Na,m/z
21,32,6,0,0,0,379.212611
17,19,9,1,0,0,380.098704
18,23,8,1,0,0,380.135089
19,27,7,1,0,0,380.171475
17,18,10,0,0,0,381.082719
16,18,9,2,0,0,381.093953
18,22,7,0,1,0,381.101347
18,22,9,0,0,0,381.119105
17,22,8,2,0,0,381.130338
19,26,8,0,0,0,381.15549
20,30,7,0,0,0,381.191876
21,34,6,0,0,0,381.228261
17,21,9,1,0,0,382.114354
18,25,8,1,0,0,382.150739
19,29,7,1,0,0,382.187125
17,20,8,0,1,0,383.080611
17,20,10,0,0,0,383.098369
18,24,7,0,1,0,383.116997
18,24,9,0,0,0,383.134755
19,28,8,0,0,0,383.17114
20,32,7,0,0,0,383.207526
16,19,10,1,0,0,384.093618
17,23,9,1,0,0,384.130004
18,27,8,1,0,0,384.166389
17,22,8,0,1,0,385.096261
19,18,7,2,0,0,385.104124
17,22,10,0,0,0,385.114019
18,26,7,0,1,0,385.132647
20,22,6,2,0,0,385.140509
18,26,9,0,0,0,385.150405
22,26,6,0,0,0,385.165661
19,30,8,0,0,0,385.18679
23,30,5,0,0,0,385.202047
20,34,7,0,0,0,385.223176
16,21,10,1,0,0,386.109269
20,21,7,1,0,0,386.124525
17,25,9,1,0,0,386.145654
21,25,6,1,0,0,386.16091
18,16,8,2,0,0,387.083388
19,20,7,2,0,0,387.119774
17,24,10,0,0,0,387.129669
21,24,7,0,0,0,387.144926
20,24,6,2,0,0,387.156159
18,28,9,0,0,0,387.166055
22,28,6,0,0,0,387.181311
19,32,8,0,0,0,387.20244
23,32,5,0,0,0,387.217696
19,19,8,1,0,0,388.103789
20,23,7,1,0,0,388.140175
21,27,6,1,0,0,388.17656
18,18,8,2,0,0,389.099038
20,22,8,0,0,0,389.12419
19,22,7,2,0,0,389.135424
21,26,7,0,0,0,389.160576
20,26,6,2,0,0,389.171809
22,30,6,0,0,0,389.196961
23,34,5,0,0,0,389.233347
18,17,9,1,0,0,390.083054
19,21,8,1,0,0,390.119439
20,25,7,1,0,0,390.155825
21,29,6,1,0,0,390.19221
17,16,9,2,0,0,391.078303
19,20,9,0,0,0,391.103455
18,20,8,2,0,0,391.114688
20,24,8,0,0,0,391.13984
19,24,7,2,0,0,391.151074
21,28,7,0,0,0,391.176226
22,32,6,0,0,0,391.212611
18,19,9,1,0,0,392.098704
19,23,8,1,0,0,392.135089
20,27,7,1,0,0,392.171475
21,31,6,1,0,0,392.20786
18,18,10,0,0,0,393.082719
17,18,9,2,0,0,393.093953
19,22,7,0,1,0,393.101347
19,22,9,0,0,0,393.119105
18,22,8,2,0,0,393.130338
20,26,8,0,0,0,393.15549
19,26,7,2,0,0,393.166724
21,30,7,0,0,0,393.191876
22,34,6,0,0,0,393.228261
18,21,9,1,0,0,394.114354
19,25,8,1,0,0,394.150739
20,29,7,1,0,0,394.187125
18,20,10,0,0,0,395.098369
17,20,9,2,0,0,395.109603
19,24,7,0,1,0,395.116997
19,24,9,0,0,0,395.134755
20,28,8,0,0,0,395.17114
21,32,7,0,0,0,395.207526
22,36,6,0,0,0,395.243911
17,19,10,1,0,0,396.093618
18,23,9,1,0,0,396.130004
19,27,8,1,0,0,396.166389
20,31,7,1,0,0,396.202775
18,22,10,0,0,0,397.114019
19,26,7,0,1,0,397.132647
19,26,9,0,0,0,397.150405
20,30,8,0,0,0,397.18679
21,34,7,0,0,0,397.223176
17,21,10,1,0,0,398.109269
21,21,7,1,0,0,398.124525
18,25,9,1,0,0,398.145654
19,29,8,1,0,0,398.182039
18,24,8,0,1,0,399.111911
20,20,7,2,0,0,399.119774
18,24,10,0,0,0,399.129669
19,28,7,0,1,0,399.148297
19,28,9,0,0,0,399.166055
23,28,6,0,0,0,399.181311
20,32,8,0,0,0,399.20244
21,36,7,0,0,0,399.238826
17,23,10,1,0,0,400.124919
21,23,7,1,0,0,400.140175
18,27,9,1,0,0,400.161304
17,22,11,0,0,0,401.108934
18,26,8,0,1,0,401.127561
20,22,7,2,0,0,401.135424
18,26,10,0,0,0,401.14532
22,26,7,0,0,0,401.160576
21,26,6,2,0,0,401.171809
19,30,9,0,0,0,401.181705
23,30,6,0,0,0,401.196961
20,34,8,0,0,0,401.21809
24,34,5,0,0,0,401.233347
20,21,8,1,0,0,402.119439
21,25,7,1,0,0,402.155825
22,29,6,1,0,0,402.19221
19,20,8,2,0,0,403.114688
21,24,8,0,0,0,403.13984
20,24,7,2,0,0,403.151074
22,28,7,0,0,0,403.176226
21,28,6,2,0,0,403.187459
23,32,6,0,0,0,403.212611
24,36,5,0,0,0,403.248996
19,19,9,1,0,0,404.098704
20,23,8,1,0,0,404.135089
21,27,7,1,0,0,404.171475
22,31,6,1,0,0,404.20786
18,18,9,2,0,0,405.093953
20,22,9,0,0,0,405.119105
19,22,8,2,0,0,405.130338
21,26,8,0,0,0,405.15549
20,26,7,2,0,0,405.166724
22,30,7,0,0,0,405.191876
23,34,6,0,0,0,405.228261
19,21,9,1,0,0,406.114354
20,25,8,1,0,0,406.150739
21,29,7,1,0,0,406.187125
22,33,6,1,0,0,406.22351
19,20,10,0,0,0,407.098369
18,20,9,2,0,0,407.109603
20,24,9,0,0,0,407.134755
19,24,8,2,0,0,407.145988
21,28,8,0,0,0,407.17114
22,32,7,0,0,0,407.207526
23,36,6,0,0,0,407.243911
18,19,10,1,0,0,408.093618
19,23,9,1,0,0,408.130004
20,27,8,1,0,0,408.166389
21,31,7,1,0,0,408.202775
19,22,8,0,1,0,409.096261
19,22,10,0,0,0,409.114019
18,22,9,2,0,0,409.125253
20,26,7,0,1,0,409.132647
20,26,9,0,0,0,409.150405
19,26,8,2,0,0,409.161638
21,30,8,0,0,0,409.18679
22,34,7,0,0,0,409.223176
18,21,10,1,0,0,410.109269
19,25,9,1,0,0,410.145654
20,29,8,1,0,0,410.182039
21,33,7,1,0,0,410.218425
19,24,8,0,1,0,411.111911
19,24,10,0,0,0,411.129669
18,24,9,2,0,0,411.140903
20,28,9,0,0,0,411.166055
21,32,8,0,0,0,411.20244
22,36,7,0,0,0,411.238826
18,23,10,1,0,0,412.124919
22,23,7,1,0,0,412.140175
